,Total sqft,price,bhk,location_weight,housing_type_IndependentFloor,housing_type_IndependentHouse,housing_type_StudioApartment,housing_type_Villa,type_RK
392,294,22.54,1,0.8182687390211906,0,0,0,0,0
393,436,33.49,2,0.8182687390211906,0,0,0,0,0
394,450,33.0,1,2.5088386365152426,0,0,0,0,0
395,950,340.0,2,14.457007537856049,0,0,0,0,0
396,3000,450.0,4,1.1215718554613257,0,0,0,0,0
397,500,42.0,1,3.2039594126846485,0,0,0,0,0
398,590,36.0,1,0.3536319322457673,0,0,0,0,0
399,1100,185.0,4,4.920730215907322,0,0,0,0,0
400,250,98.0,1,3.10853178573811,0,0,0,0,0
401,500,105.0,1,5.739456745942991,0,0,0,0,0
402,410,110.00000000000001,1,5.739456745942991,0,0,0,0,0
403,655,38.0,1,5.721210504080227,0,0,0,0,0
404,505,31.5,1,1.2782669601761059,0,0,0,0,0
405,651,38.0,1,2.545315067828576,0,0,0,0,0
406,554,43.0,1,1.5075712093923022,0,0,0,0,0
407,615,21.0,1,0.8182687390211906,0,0,0,0,0
408,650,192.0,2,8.761923820959243,0,0,0,0,0
409,1150,88.0,2,2.4748182242678944,0,0,0,0,0
410,1100,60.0,2,1.5422987125608703,0,0,0,0,0
411,602,187.0,2,8.690312226551617,0,0,0,0,0
412,579,179.0,2,8.690312226551617,0,0,0,0,0
413,575,62.0,1,2.5088386365152426,0,0,0,0,0
414,550,36.0,1,3.6308651857781338,0,0,0,0,0
415,501,81.0,1,5.993596157694617,0,0,0,0,0
416,570,110.00000000000001,1,7.5222911524692595,0,0,0,0,0
417,811,148.0,2,8.641676233810463,0,0,0,0,0
418,590,90.0,1,8.5546566034859,0,0,0,0,0
419,650,140.0,2,3.9654561967950004,0,0,0,0,0
420,477,38.49,1,1.5422987125608703,0,0,0,0,0
421,477,38.49,1,1.5422987125608703,0,0,0,0,0
422,384,36.49,1,1.5422987125608703,0,0,0,0,0
423,477,38.49,1,1.5422987125608703,0,0,0,0,0
424,384,36.49,1,1.5422987125608703,0,0,0,0,0
425,384,36.49,1,1.5422987125608703,0,0,0,0,0
426,384,36.49,1,1.5422987125608703,0,0,0,0,0
428,450,95.0,1,17.291551401429096,0,0,0,0,0
429,600,95.0,1,4.375958908678541,0,0,0,0,0
430,515,33.5,1,1.7708119425031927,0,0,0,0,0
431,700,75.0,1,2.3652286610061273,0,0,0,0,0
432,671,43.0,1,1.7708119425031927,0,0,0,0,0
433,338,43.5,1,3.6824055217444194,0,0,1,0,1
434,800,110.00000000000001,2,2.948147884164289,0,0,0,0,0
435,600,30.0,1,4.558281067931539,0,0,0,0,0
436,1100,75.0,2,4.558281067931539,0,0,0,0,0
437,635,23.49,1,4.558281067931539,0,0,0,0,0
438,443,129.0,1,4.68917582433518,0,0,0,0,0
439,446,130.0,1,4.68917582433518,0,0,0,0,0
440,600,26.0,1,1.1215777085298801,0,0,0,0,0
441,525,30.0,1,0.9759397305049697,0,0,0,0,0
442,1230,135.0,2,2.948147884164289,0,0,0,0,0
443,444,38.5,1,1.484157160963245,0,0,0,0,0
444,561,49.5,2,1.484157160963245,0,0,0,0,0
445,624,55.0,2,1.484157160963245,0,0,0,0,0
447,670,16.75,1,0.5041914037311276,0,0,0,0,0
448,500,12.5,1,0.5041914037311276,0,0,0,0,0
449,600,15.0,1,0.5041914037311276,0,0,0,0,0
450,650,16.25,1,0.5041914037311276,0,0,0,0,0
451,930,23.25,2,0.5041914037311276,0,0,0,0,0
452,560,19.99,1,0.991921239700342,0,0,0,0,0
453,400,32.0,1,2.948147884164289,0,0,1,0,1
454,460,39.3,1,1.39896883113687,0,0,0,0,0
455,424,36.9,1,1.39896883113687,0,0,0,0,0
456,513,43.8,1,1.39896883113687,0,0,0,0,0
457,566,50.97,2,1.39896883113687,0,0,0,0,0
458,483,43.99,1,3.1668167567206993,0,0,0,0,0
459,640,28.16,1,0.8765259155493297,0,0,0,0,0
460,635,37.0,1,1.2782669601761059,0,0,0,0,0
463,270,20.39,1,3.6308651857781338,0,0,1,0,1
464,525,22.0,1,1.1215777085298801,0,0,0,0,0
465,437,25.79,1,1.1921152691614971,0,0,0,0,0
466,482,28.43,1,1.1921152691614971,0,0,0,0,0
467,525,21.0,1,0.9630876565154779,0,0,0,0,0
468,405,17.0,1,0.9630876565154779,0,0,1,0,1
469,375,24.5,1,1.2583704068595,0,0,0,0,0
470,595,39.0,2,1.2583704068595,0,0,0,0,0
471,470,20.0,1,0.7283536788739912,0,0,0,0,0
