,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
276,Virar West,550,40.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
277,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
278,Santacruz West,600,250.0,Plot  Area,Ready To Move,1,BHK,Apartment
279,Andheri West,651,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
280,Kalwa,535,46.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
281,Kalyan West,825,54.0,Built-up  Area,Ready To Move,2,BHK,Apartment
282,Powai,2002,300.0,Super built-up  Area,Not Ready Yet,6,BHK,IndependentFloor
283,Powai,2000,286.0,Super built-up  Area,Ready To Move,3,BHK,IndependentFloor
284,Goregaon East,854,185.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
285,Badlapur West,695,23.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
286,Dahisar,420,68.03,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
287,Dahisar,394,65.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
288,Dahisar,316,55.29,Super built-up  Area,Ready To Move,1,BHK,Apartment
289,Nala Sopara,1275,69.99,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
290,Hendre Pada,387,11.61,Super built-up  Area,Ready To Move,1,BHK,Apartment
291,Vasai West,560,47.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
292,Thane West,680,77.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
293,Mazgaon,350,65.0,Built-up  Area,Ready To Move,1,BHK,Apartment
294,Ulwe,385,24.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
295,Belapur,550,35.0,Built-up  Area,Ready To Move,1,BHK,Apartment
296,Badlapur East,725,25.0,Plot  Area,Ready To Move,1,BHK,Apartment
297,Borivali West,780,78.0,Super built-up  Area,Ready To Move,3,BHK,IndependentHouse
298,Nerul,1150,175.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
299,Dahisar,413,74.36,Super built-up  Area,Ready To Move,1,BHK,Apartment
300,Dahisar,353,60.78,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
301,Dahisar,390,67.13,Built-up  Area,Ready To Move,1,BHK,Apartment
302,Dahisar,406,69.76,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
303,Dahisar,332,57.09,Super built-up  Area,Ready To Move,1,BHK,Apartment
304,Dombivali,980,50.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
305,Andheri East,275,56.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
306,Borivali West,520,114.99999999999999,Super built-up  Area,Ready To Move,1,BHK,Apartment
307,Kumbharkhan Pada,565,35.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
308,Mulund West,500,126.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
309,Badlapur East,650,22.99,Super built-up  Area,Ready To Move,1,BHK,Apartment
310,Mahim,600,18.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
311,Karjat,410,17.75,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
312,Karjat,735,31.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
313,Karjat,840,36.25,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
314,Karjat,460,21.25,Super built-up  Area,Ready To Move,1,BHK,Apartment
315,Karjat,435,20.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
316,Karjat,490,22.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
317,Karjat,530,24.5,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
318,Karjat,780,33.5,Super built-up  Area,Ready To Move,2,BHK,Apartment
319,Khopoli,428,33.49,Built-up  Area,Ready To Move,2,BHK,Apartment
320,Khopoli,237,19.99,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
321,Palghar,1450,69.99,Super built-up  Area,Not Ready Yet,3,BHK,Villa
322,Borivali West,515,125.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
323,Ghatkopar West,540,114.99999999999999,Super built-up  Area,Ready To Move,1,BHK,Apartment
324,Khadawali,250,3.8,Super built-up  Area,Ready To Move,1,BHK,Apartment
325,Mulund East,264,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
326,Dombivali East,380,15.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
327,Thane West,750,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
328,Kalamboli,900,75.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
329,Karanjade,600,42.0,Built-up  Area,Ready To Move,1,BHK,Apartment
330,Kanjurmarg,676,150.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
331,Anjurdive,830,80.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
334,Navade,1505,53.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
335,Airoli,660,71.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
336,Karanjade,600,35.0,Built-up  Area,Ready To Move,1,BHK,Apartment
