size,Location,Total sqft,price_sqft,price,area_type,availability
1 BHK Apartment,Rasayani,326,"9,488",30.93 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,513,"8,544",43.83 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,613,"22,800",1.39 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Malad East,405,"22,800",92.34 L,Carpet  Area,Ready To Move
1 RK Studio Apartment,Vangani,241,"2,701",6.5 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Badlapur West,770,"3,849",29.64 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Badlapur West,790,"3,849",30.41 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,540,"3,850",20.79 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,605,"3,849",23.29 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,430,"3,848",16.55 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad East,646,"22,601",1.46 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Malad East,323,"21,641",69.9 L,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kurla,595,"21,386",1.27 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Kurla,418,"21,550",90.08 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Kurla,584,"21,393",1.24 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Vikhroli,444,"19,943",88.54 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vikhroli,390,"20,014",78.05 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Vikhroli,408,"19,988",81.55 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Dahisar,1093,"20,768",2.27 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Dahisar,701,"21,255",1.49 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Borivali East,437,"22,196",97 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Borivali East,619,"23,424",1.45 Cr,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Borivali East,434,"22,119",96 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Borivali East,385,"22,857",88 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Borivali East,477,"25,157",1.2 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Borivali East,584,"24,828",1.45 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Borivali East,712,"23,876",1.7 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Borivali East,871,"26,406",2.3 Cr,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Badlapur West,502,"3,298",16.56 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,635,"3,299",20.95 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Badlapur West,535,"3,299",17.65 L,Built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,565,"3,299",18.64 L,Super built-up  Area,Ready To Move
1 RK Studio Apartment,Badlapur West,380,"3,600",13.68 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Mulund West,1292,"29,179",3.77 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Mulund West,758,"29,683",2.25 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,345,"5,771",19.91 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Badlapur West,352,"5,823",20.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,294,"5,442",16 L,Plot  Area,Not Ready Yet
1 BHK Apartment,Badlapur West,366,"5,814",21.28 L,Built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,333,"5,804",19.33 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,358,"5,835",20.89 L,Carpet  Area,Ready To Move
1 BHK Apartment,Badlapur West,372,"5,825",21.67 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,380,"5,805",22.06 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Borivali East,380,"23,157",88 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Borivali East,764,"24,214",1.85 Cr,Super built-up  Area,Not Ready Yet
